iter,grad_angle_deg,ckpt_A,ckpt_B,grad_dim
250,68.79878234863281,250_ckpt.pt,250_ckpt.pt,10745088
500,79.38748931884766,500_ckpt.pt,500_ckpt.pt,10745088
750,85.0656509399414,750_ckpt.pt,750_ckpt.pt,10745088
1000,85.89539337158203,1000_ckpt.pt,1000_ckpt.pt,10745088
1250,87.77620697021484,1250_ckpt.pt,1250_ckpt.pt,10745088
1500,88.12319946289062,1500_ckpt.pt,1500_ckpt.pt,10745088
1750,87.7026596069336,1750_ckpt.pt,1750_ckpt.pt,10745088
2000,87.33030700683594,2000_ckpt.pt,2000_ckpt.pt,10745088
2250,87.73184967041016,2250_ckpt.pt,2250_ckpt.pt,10745088
2500,88.46434783935547,2500_ckpt.pt,2500_ckpt.pt,10745088
2750,88.0601577758789,2750_ckpt.pt,2750_ckpt.pt,10745088
3000,88.20170593261719,3000_ckpt.pt,3000_ckpt.pt,10745088
3250,88.63026428222656,3250_ckpt.pt,3250_ckpt.pt,10745088
3500,88.25819396972656,3500_ckpt.pt,3500_ckpt.pt,10745088
3750,88.63449096679688,3750_ckpt.pt,3750_ckpt.pt,10745088
4000,89.11441802978516,4000_ckpt.pt,4000_ckpt.pt,10745088
4250,88.82109832763672,4250_ckpt.pt,4250_ckpt.pt,10745088
4500,88.89859771728516,4500_ckpt.pt,4500_ckpt.pt,10745088
4750,88.83146667480469,4750_ckpt.pt,4750_ckpt.pt,10745088
5000,89.1571273803711,5000_ckpt.pt,5000_ckpt.pt,10745088
