iter,grad_angle_cos,ckpt_A,ckpt_B,grad_dim
250,0.17242690920829773,250_ckpt.pt,250_ckpt.pt,10745088
500,0.1209293007850647,500_ckpt.pt,500_ckpt.pt,10745088
750,0.04685407876968384,750_ckpt.pt,750_ckpt.pt,10745088
1000,0.03855561092495918,1000_ckpt.pt,1000_ckpt.pt,10745088
1250,0.02143930271267891,1250_ckpt.pt,1250_ckpt.pt,10745088
1500,0.040653206408023834,1500_ckpt.pt,1500_ckpt.pt,10745088
1750,0.027881616726517677,1750_ckpt.pt,1750_ckpt.pt,10745088
2000,0.014904223382472992,2000_ckpt.pt,2000_ckpt.pt,10745088
2250,0.017962289974093437,2250_ckpt.pt,2250_ckpt.pt,10745088
2500,0.02037062495946884,2500_ckpt.pt,2500_ckpt.pt,10745088
2750,0.018259763717651367,2750_ckpt.pt,2750_ckpt.pt,10745088
3000,0.018805136904120445,3000_ckpt.pt,3000_ckpt.pt,10745088
3250,0.017198368906974792,3250_ckpt.pt,3250_ckpt.pt,10745088
3500,0.019494397565722466,3500_ckpt.pt,3500_ckpt.pt,10745088
3750,0.019130438566207886,3750_ckpt.pt,3750_ckpt.pt,10745088
4000,0.016787081956863403,4000_ckpt.pt,4000_ckpt.pt,10745088
4250,0.015311131253838539,4250_ckpt.pt,4250_ckpt.pt,10745088
4500,0.014405702240765095,4500_ckpt.pt,4500_ckpt.pt,10745088
4750,0.014336925931274891,4750_ckpt.pt,4750_ckpt.pt,10745088
5000,0.01325453445315361,5000_ckpt.pt,5000_ckpt.pt,10745088
