iter,grad_angle_cos,ckpt_A,ckpt_B,grad_dim
250,0.04700599983334541,250_ckpt.pt,250_ckpt.pt,10745088
500,0.031057382002472878,500_ckpt.pt,500_ckpt.pt,10745088
750,0.022984052076935768,750_ckpt.pt,750_ckpt.pt,10745088
1000,0.02876979671418667,1000_ckpt.pt,1000_ckpt.pt,10745088
1250,0.021456319838762283,1250_ckpt.pt,1250_ckpt.pt,10745088
1500,0.02066652849316597,1500_ckpt.pt,1500_ckpt.pt,10745088
1750,0.01495598815381527,1750_ckpt.pt,1750_ckpt.pt,10745088
2000,0.014357442036271095,2000_ckpt.pt,2000_ckpt.pt,10745088
2250,0.010776257142424583,2250_ckpt.pt,2250_ckpt.pt,10745088
2500,0.007905174046754837,2500_ckpt.pt,2500_ckpt.pt,10745088
2750,0.019113894551992416,2750_ckpt.pt,2750_ckpt.pt,10745088
3000,0.0162579957395792,3000_ckpt.pt,3000_ckpt.pt,10745088
3250,0.01223496813327074,3250_ckpt.pt,3250_ckpt.pt,10745088
3500,0.011558638885617256,3500_ckpt.pt,3500_ckpt.pt,10745088
3750,0.02141345478594303,3750_ckpt.pt,3750_ckpt.pt,10745088
4000,0.010013249702751637,4000_ckpt.pt,4000_ckpt.pt,10745088
4250,0.015828315168619156,4250_ckpt.pt,4250_ckpt.pt,10745088
4500,0.0066929589956998825,4500_ckpt.pt,4500_ckpt.pt,10745088
4750,0.010158760473132133,4750_ckpt.pt,4750_ckpt.pt,10745088
5000,0.012209580279886723,5000_ckpt.pt,5000_ckpt.pt,10745088
