iter,grad_angle_cos,ckpt_A,ckpt_B,grad_dim
250,0.03404225409030914,250_ckpt.pt,250_ckpt.pt,10745088
500,0.004515019245445728,500_ckpt.pt,500_ckpt.pt,10745088
750,0.01101263239979744,750_ckpt.pt,750_ckpt.pt,10745088
1000,0.006889088544994593,1000_ckpt.pt,1000_ckpt.pt,10745088
1250,0.005097044166177511,1250_ckpt.pt,1250_ckpt.pt,10745088
1500,0.012570264749228954,1500_ckpt.pt,1500_ckpt.pt,10745088
1750,0.009160399436950684,1750_ckpt.pt,1750_ckpt.pt,10745088
2000,0.009650072082877159,2000_ckpt.pt,2000_ckpt.pt,10745088
2250,0.007255599368363619,2250_ckpt.pt,2250_ckpt.pt,10745088
2500,0.013082966208457947,2500_ckpt.pt,2500_ckpt.pt,10745088
2750,0.009208009578287601,2750_ckpt.pt,2750_ckpt.pt,10745088
3000,0.009218018501996994,3000_ckpt.pt,3000_ckpt.pt,10745088
3250,0.012149518355727196,3250_ckpt.pt,3250_ckpt.pt,10745088
3500,0.009073627181351185,3500_ckpt.pt,3500_ckpt.pt,10745088
3750,0.008403265848755836,3750_ckpt.pt,3750_ckpt.pt,10745088
4000,0.012143289670348167,4000_ckpt.pt,4000_ckpt.pt,10745088
4250,0.010362894274294376,4250_ckpt.pt,4250_ckpt.pt,10745088
4500,0.011488120071589947,4500_ckpt.pt,4500_ckpt.pt,10745088
4750,0.012212534435093403,4750_ckpt.pt,4750_ckpt.pt,10745088
5000,0.011660881340503693,5000_ckpt.pt,5000_ckpt.pt,10745088
