iter,grad_angle_deg,ckpt_A,ckpt_B,grad_dim
250,86.94444274902344,250_ckpt.pt,250_ckpt.pt,10745088
500,88.1478271484375,500_ckpt.pt,500_ckpt.pt,10745088
750,88.5797348022461,750_ckpt.pt,750_ckpt.pt,10745088
1000,88.3718490600586,1000_ckpt.pt,1000_ckpt.pt,10745088
1250,88.68811798095703,1250_ckpt.pt,1250_ckpt.pt,10745088
1500,88.92768096923828,1500_ckpt.pt,1500_ckpt.pt,10745088
1750,89.08186340332031,1750_ckpt.pt,1750_ckpt.pt,10745088
2000,89.401123046875,2000_ckpt.pt,2000_ckpt.pt,10745088
2250,89.36602783203125,2250_ckpt.pt,2250_ckpt.pt,10745088
2500,89.42570495605469,2500_ckpt.pt,2500_ckpt.pt,10745088
2750,89.0273666381836,2750_ckpt.pt,2750_ckpt.pt,10745088
3000,89.08098602294922,3000_ckpt.pt,3000_ckpt.pt,10745088
3250,89.11246490478516,3250_ckpt.pt,3250_ckpt.pt,10745088
3500,89.33977508544922,3500_ckpt.pt,3500_ckpt.pt,10745088
3750,88.8956527709961,3750_ckpt.pt,3750_ckpt.pt,10745088
4000,89.52566528320312,4000_ckpt.pt,4000_ckpt.pt,10745088
4250,89.18255615234375,4250_ckpt.pt,4250_ckpt.pt,10745088
4500,89.54393005371094,4500_ckpt.pt,4500_ckpt.pt,10745088
4750,89.32069396972656,4750_ckpt.pt,4750_ckpt.pt,10745088
5000,89.4381332397461,5000_ckpt.pt,5000_ckpt.pt,10745088
