iter_num,min_sv,max_sv,condition_number,checkpoint
250,-307.97504,232.37233,0.7545168,250_ckpt.pt
500,-1194.9988,1800.0609,1.5063287,500_ckpt.pt
750,-1363.2018,2779.792,2.039164,750_ckpt.pt
1000,-2110.8418,2166.6084,1.0264192,1000_ckpt.pt
1250,-2267.2615,2487.2275,1.0970184,1250_ckpt.pt
1500,-1918.2588,4563.5493,2.3790061,1500_ckpt.pt
1750,-1945.8461,2280.8987,1.1721886,1750_ckpt.pt
2000,-1911.0055,4424.7485,2.3154035,2000_ckpt.pt
2250,-2187.4836,3971.0112,1.815333,2250_ckpt.pt
2500,-2237.0588,3987.4539,1.7824538,2500_ckpt.pt
2750,-2523.9136,3319.1033,1.3150622,2750_ckpt.pt
3000,-2432.4348,10937.009,4.496321,3000_ckpt.pt
3250,-2693.6306,4302.715,1.5973663,3250_ckpt.pt
3500,-3118.1812,3962.1926,1.2706743,3500_ckpt.pt
3750,-2793.4456,8305.629,2.973256,3750_ckpt.pt
4000,-2704.6099,6479.359,2.3956723,4000_ckpt.pt
4250,-2732.4026,5006.27,1.8321861,4250_ckpt.pt
4500,-2763.0532,5858.547,2.1203163,4500_ckpt.pt
4750,-2712.9128,5609.531,2.0677152,4750_ckpt.pt
5000,-2721.8162,5626.5576,2.067207,5000_ckpt.pt
