iter_num,min_sv,max_sv,condition_number,checkpoint
250,-976.4191,850.8793,0.8714283,250_ckpt.pt
500,-1274.7922,604.8916,0.47450212,500_ckpt.pt
750,-765.4325,1002.0364,1.3091114,750_ckpt.pt
1000,-774.5825,672.95544,0.8687976,1000_ckpt.pt
1250,-852.8901,689.64307,0.8085955,1250_ckpt.pt
1500,-681.25854,1083.0851,1.5898297,1500_ckpt.pt
1750,-728.50995,2294.7551,3.1499298,1750_ckpt.pt
2000,-844.01807,2441.2302,2.892391,2000_ckpt.pt
2250,-1231.4142,2395.3853,1.9452312,2250_ckpt.pt
2500,-1221.942,2566.1719,2.1000767,2500_ckpt.pt
2750,-1593.9667,900.43384,0.5649013,2750_ckpt.pt
3000,-1080.9093,2047.4653,1.8942064,3000_ckpt.pt
3250,-1163.1302,2370.5305,2.0380611,3250_ckpt.pt
3500,-961.1857,1999.0181,2.0797417,3500_ckpt.pt
3750,-1034.1077,2121.3298,2.0513628,3750_ckpt.pt
4000,-1436.4852,1993.1238,1.3875004,4000_ckpt.pt
4250,-1485.2004,1938.333,1.3050987,4250_ckpt.pt
4500,-1773.0879,2093.271,1.1805794,4500_ckpt.pt
4750,-1813.7039,1889.8103,1.0419619,4750_ckpt.pt
5000,-1566.1655,2363.5417,1.5091264,5000_ckpt.pt
