iter_num,min_sv,max_sv,condition_number,checkpoint
250,-754.79407,485.7495,0.64355236,250_ckpt.pt
500,-1276.6925,603.7314,0.47288707,500_ckpt.pt
750,-780.4772,947.2682,1.2137039,750_ckpt.pt
1000,-1027.5844,839.49866,0.81696326,1000_ckpt.pt
1250,-1175.1672,1036.6316,0.8821141,1250_ckpt.pt
1500,-1336.6992,1034.0171,0.77356005,1500_ckpt.pt
1750,-1575.5654,1119.6924,0.7106607,1750_ckpt.pt
2000,-1559.7157,1116.5183,0.7158473,2000_ckpt.pt
2250,-1498.7064,1102.0577,0.7353393,2250_ckpt.pt
2500,-1819.1089,1259.0253,0.692111,2500_ckpt.pt
2750,-1891.1714,1443.3286,0.7631929,2750_ckpt.pt
3000,-2149.0413,1510.6531,0.7029428,3000_ckpt.pt
3250,-2115.7327,1668.1942,0.78847116,3250_ckpt.pt
3500,-2359.551,1823.7383,0.7729175,3500_ckpt.pt
3750,-2552.1763,2047.2451,0.8021566,3750_ckpt.pt
4000,-2976.5796,2104.2737,0.7069435,4000_ckpt.pt
4250,-2780.3782,2130.7783,0.7663628,4250_ckpt.pt
4500,-2996.9854,2205.6555,0.73595804,4500_ckpt.pt
4750,-3262.1987,2517.965,0.7718613,4750_ckpt.pt
5000,-3275.209,2297.1099,0.70136285,5000_ckpt.pt
