layer_name,num_params,diag_sum,diag_off_diag_ratio,min_eigenvalue,max_eigenvalue,spectral_gap,is_bad_layer,iter_num,checkpoint
transformer.h.0.attn.c_attn.weight,442368,-286.40625,-0.3880962322275103,-60.70679,20.822874,0.34300733,False,250,250_ckpt.pt
transformer.h.0.attn.c_proj.weight,147456,-7.3030068961088546e-06,-0.999999994414394,-65.18765,19.801859,0.30376703,False,250,250_ckpt.pt
transformer.h.0.ln_1.weight,384,0.5198673605918884,-1.819728962416272,-0.13879383,0.049447298,0.35626438,False,250,250_ckpt.pt
transformer.h.0.ln_2.weight,384,-1.4703614711761475,3.306373794301559,-0.033630617,0.010280132,0.30567777,False,250,250_ckpt.pt
transformer.h.0.mlp.c_fc.weight,589824,-6.368891716003418,-0.9952468637731653,-17.20183,10.034418,0.5833343,False,250,250_ckpt.pt
transformer.h.0.mlp.c_proj.weight,589824,0.004488565493375063,-1.0000165641428442,-25.666553,13.829912,0.5388301,False,250,250_ckpt.pt
transformer.h.1.attn.c_attn.weight,442368,-16.923303604125977,2.6222163359570674,-2.0108113,1.2222633,0.60784584,False,250,250_ckpt.pt
transformer.h.1.attn.c_proj.weight,147456,-3.5256778119219234e-07,-0.9999999971542851,-3.872405,1.5792075,0.40781054,False,250,250_ckpt.pt
transformer.h.1.ln_1.weight,384,-0.2992614805698395,7.8378924539176715,-0.018323092,0.008441018,0.46067652,False,250,250_ckpt.pt
transformer.h.1.ln_2.weight,384,-0.18225103616714478,-0.386770373606665,-0.016628763,0.004381143,0.26346776,False,250,250_ckpt.pt
transformer.h.1.mlp.c_fc.weight,589824,-5.4504289627075195,-0.9928901903207359,-9.753057,5.1800632,0.531122,False,250,250_ckpt.pt
transformer.h.1.mlp.c_proj.weight,589824,0.0004824096686206758,-1.0000034595650613,-3.2456043,1.5212822,0.4687208,False,250,250_ckpt.pt
transformer.h.2.attn.c_attn.weight,442368,-0.7750851511955261,-0.913677534808229,-2.5516005,2.263558,0.887113,False,250,250_ckpt.pt
transformer.h.2.attn.c_proj.weight,147456,2.4881418880795536e-07,-1.0000000058542822,-0.9672272,0.51880574,0.5363846,False,250,250_ckpt.pt
transformer.h.2.ln_1.weight,384,0.23458145558834076,-22.74334539930046,-0.011091793,0.011527421,1.0392748,False,250,250_ckpt.pt
transformer.h.2.ln_2.weight,384,0.08894847333431244,-2.5858614017102273,-0.008746253,0.009712108,1.1104307,False,250,250_ckpt.pt
transformer.h.2.mlp.c_fc.weight,589824,37.99486541748047,-1.2694763853105828,-6.3443832,5.4623556,0.860975,False,250,250_ckpt.pt
transformer.h.2.mlp.c_proj.weight,589824,0.00016902420611586422,-1.0000014160107795,-1.8061037,0.9732925,0.5388907,False,250,250_ckpt.pt
transformer.h.3.attn.c_attn.weight,442368,12.655688285827637,31.99536230450427,-2.0498154,3.3569884,1.6377028,False,250,250_ckpt.pt
transformer.h.3.attn.c_proj.weight,147456,-2.538881176405994e-07,-0.999999991068718,-0.48918456,0.29961517,0.6124788,False,250,250_ckpt.pt
transformer.h.3.ln_1.weight,384,0.7657101154327393,46.12883389178787,-0.013177163,0.01960738,1.4879819,False,250,250_ckpt.pt
transformer.h.3.ln_2.weight,384,0.30633482336997986,1.4521749403266582,-0.010278744,0.019910693,1.9370745,False,250,250_ckpt.pt
transformer.h.3.mlp.c_fc.weight,589824,39.23039627075195,-0.885777055017914,-11.144135,9.807262,0.88003796,False,250,250_ckpt.pt
transformer.h.3.mlp.c_proj.weight,589824,1.4175489923218265e-05,-1.0000001421198528,-1.3730124,0.99059594,0.7214763,False,250,250_ckpt.pt
transformer.h.4.attn.c_attn.weight,442368,-5.094388484954834,-2.0606808734479727,-1.995753,8.984439,4.501779,False,250,250_ckpt.pt
transformer.h.4.attn.c_proj.weight,147456,2.723907357449207e-07,-1.000000003947812,-1.0636159,0.848032,0.79731035,False,250,250_ckpt.pt
transformer.h.4.ln_1.weight,384,0.20895007252693176,2.3327574272108476,-0.007501371,0.06354364,8.470937,False,250,250_ckpt.pt
transformer.h.4.ln_2.weight,384,0.18537715077400208,-0.2916403026935388,-0.0049644923,0.018364368,3.6991432,False,250,250_ckpt.pt
transformer.h.4.mlp.c_fc.weight,589824,7.010858535766602,-0.991022772514644,-9.458975,7.185745,0.7596748,False,250,250_ckpt.pt
transformer.h.4.mlp.c_proj.weight,589824,0.00012203051301185042,-1.000001112611365,-1.263513,1.6425722,1.3000042,False,250,250_ckpt.pt
transformer.h.5.attn.c_attn.weight,442368,-18.979246139526367,-3.2455720500760514,-2.0823162,7.201398,3.4583595,False,250,250_ckpt.pt
transformer.h.5.attn.c_proj.weight,147456,5.168742973182816e-06,-1.000000056490553,-0.93583924,1.2396201,1.324608,False,250,250_ckpt.pt
transformer.h.5.ln_1.weight,384,0.14245827496051788,2.0432782053898904,-0.012926161,0.050702453,3.922468,False,250,250_ckpt.pt
transformer.h.5.ln_2.weight,384,0.42186224460601807,0.18941856406753765,-0.013641103,0.026409028,1.9359891,False,250,250_ckpt.pt
transformer.h.5.mlp.c_fc.weight,589824,24.43644905090332,-0.9779700502838622,-6.5060177,11.618032,1.7857363,False,250,250_ckpt.pt
transformer.h.5.mlp.c_proj.weight,589824,0.0001685054594418034,-1.0000012372363611,-0.7574872,1.0238701,1.3516666,False,250,250_ckpt.pt
transformer.h.0.attn.c_attn.weight,442368,-616.2429809570312,-7.501041042296004,-97.24331,326.2388,3.3548715,False,500,500_ckpt.pt
transformer.h.0.attn.c_proj.weight,147456,-1.3268595466797706e-06,-1.000000001021235,-371.40842,415.69,1.1192261,False,500,500_ckpt.pt
transformer.h.0.ln_1.weight,384,-1.334821343421936,32.71921977573603,-0.07491364,0.14851755,1.9825166,False,500,500_ckpt.pt
transformer.h.0.ln_2.weight,384,3.2227234840393066,-7.626893329682316,-0.08496928,0.1404769,1.6532669,False,500,500_ckpt.pt
transformer.h.0.mlp.c_fc.weight,589824,171.5198516845703,-1.0775912699978185,-67.979576,101.61949,1.4948533,False,500,500_ckpt.pt
transformer.h.0.mlp.c_proj.weight,589824,0.015732424333691597,-1.0000349865887834,-104.327286,173.65858,1.6645558,False,500,500_ckpt.pt
transformer.h.1.attn.c_attn.weight,442368,13.60427474975586,6.749575422027279,-2.82342,7.8666883,2.7862267,False,500,500_ckpt.pt
transformer.h.1.attn.c_proj.weight,147456,3.5481662052916363e-07,-1.000000012539903,-3.7942662,5.4437037,1.4347184,False,500,500_ckpt.pt
transformer.h.1.ln_1.weight,384,1.2105239629745483,-3032.8778017614695,-0.057479758,0.07146178,1.2432513,False,500,500_ckpt.pt
transformer.h.1.ln_2.weight,384,0.45709580183029175,-4.2957376731031465,-0.0296879,0.023583682,0.794387,False,500,500_ckpt.pt
transformer.h.1.mlp.c_fc.weight,589824,-5.68643045425415,-0.9857291272999137,-29.11428,19.81311,0.68052894,False,500,500_ckpt.pt
transformer.h.1.mlp.c_proj.weight,589824,0.0004736888804472983,-1.0000096621710604,-4.5136127,7.230738,1.6019846,False,500,500_ckpt.pt
transformer.h.2.attn.c_attn.weight,442368,1.4894773960113525,-0.6976453201179394,-4.580759,8.136794,1.7762982,False,500,500_ckpt.pt
transformer.h.2.attn.c_proj.weight,147456,5.3018420658190735e-06,-1.000000137705175,-4.605701,7.4806013,1.6242048,False,500,500_ckpt.pt
transformer.h.2.ln_1.weight,384,-0.06092235818505287,-2.0681290645005745,-0.02902488,0.042059816,1.4490952,False,500,500_ckpt.pt
transformer.h.2.ln_2.weight,384,-1.1123570203781128,-4.082032680936688,-0.041713376,0.04685463,1.1232519,False,500,500_ckpt.pt
transformer.h.2.mlp.c_fc.weight,589824,-1.623206615447998,-1.001271039403005,-25.954573,50.41338,1.9423698,False,500,500_ckpt.pt
transformer.h.2.mlp.c_proj.weight,589824,6.459411088144407e-05,-1.0000003225359506,-12.624562,12.534915,0.992899,False,500,500_ckpt.pt
transformer.h.3.attn.c_attn.weight,442368,-14.268182754516602,-0.6733730844512448,-9.513633,11.350695,1.1930978,False,500,500_ckpt.pt
transformer.h.3.attn.c_proj.weight,147456,4.653245923691429e-06,-1.0000000901555415,-3.9117656,3.858726,0.986441,False,500,500_ckpt.pt
transformer.h.3.ln_1.weight,384,-0.2000025063753128,1.5902752632580663,-0.043845333,0.042342838,0.9657319,False,500,500_ckpt.pt
transformer.h.3.ln_2.weight,384,1.0422947406768799,-7.367999853953511,-0.032193933,0.089798294,2.7892926,False,500,500_ckpt.pt
transformer.h.3.mlp.c_fc.weight,589824,34.69215393066406,-1.0265259434924188,-61.43465,62.43553,1.0162919,False,500,500_ckpt.pt
transformer.h.3.mlp.c_proj.weight,589824,0.0006000783760100603,-1.000002811021788,-11.056395,23.1629,2.0949779,False,500,500_ckpt.pt
transformer.h.4.attn.c_attn.weight,442368,-7.818231582641602,-0.5125618859174295,-12.536766,14.484969,1.1553992,False,500,500_ckpt.pt
transformer.h.4.attn.c_proj.weight,147456,1.7990255400945898e-06,-1.0000000253316035,-4.013763,7.343695,1.8296285,False,500,500_ckpt.pt
transformer.h.4.ln_1.weight,384,-0.525911271572113,17.702450321683482,-0.023257697,0.022117589,0.9509793,False,500,500_ckpt.pt
transformer.h.4.ln_2.weight,384,-0.025991974398493767,-1.0788017533975074,-0.03321258,0.08256294,2.4858935,False,500,500_ckpt.pt
transformer.h.4.mlp.c_fc.weight,589824,38.024932861328125,-0.9789406129052982,-77.68201,64.72712,0.8332318,False,500,500_ckpt.pt
transformer.h.4.mlp.c_proj.weight,589824,0.0008253926644101739,-1.0000037531037227,-7.597767,17.708052,2.3306916,False,500,500_ckpt.pt
transformer.h.5.attn.c_attn.weight,442368,-34.26369094848633,-7.495361011148751,-9.684586,10.636127,1.0982533,False,500,500_ckpt.pt
transformer.h.5.attn.c_proj.weight,147456,1.1200761491636513e-06,-1.0000000268245053,-1.640932,3.7336555,2.2753263,False,500,500_ckpt.pt
transformer.h.5.ln_1.weight,384,0.206546813249588,4.977592404682037,-0.029363332,0.034687374,1.181316,False,500,500_ckpt.pt
transformer.h.5.ln_2.weight,384,0.2321692407131195,-0.2989025538575806,-0.015481531,0.03862926,2.4951835,False,500,500_ckpt.pt
transformer.h.5.mlp.c_fc.weight,589824,604.621826171875,-0.6483870902409158,-31.47821,37.19087,1.1814798,False,500,500_ckpt.pt
transformer.h.5.mlp.c_proj.weight,589824,0.0006092742551118135,-1.0000030767986552,-1.7888979,4.6897883,2.6216075,False,500,500_ckpt.pt
transformer.h.0.attn.c_attn.weight,442368,-324.21923828125,-2.0884066247997177,-79.5918,130.47731,1.6393311,False,750,750_ckpt.pt
transformer.h.0.attn.c_proj.weight,147456,9.84090746669608e-08,-0.9999999990187803,-264.61398,284.645,1.075699,False,750,750_ckpt.pt
