layer_name,num_params,diag_sum,diag_off_diag_ratio,min_eigenvalue,max_eigenvalue,spectral_gap,is_bad_layer,iter_num,checkpoint
transformer.h.0.attn.c_attn.weight,442368,0.15840363502502441,-1.0004003076552868,-113.5878,75.53272,0.6649721,False,250,250_ckpt.pt
transformer.h.0.attn.c_proj.weight,147456,9.114174645219464e-06,-0.999999948005142,-236.34424,155.39554,0.65749663,False,250,250_ckpt.pt
transformer.h.0.ln_1.weight,384,-1.195358157157898,1.84205878880648,-0.11446719,0.07354532,0.64250135,False,250,250_ckpt.pt
transformer.h.0.ln_2.weight,384,-2.242128372192383,4.9480944946831125,-0.058373295,0.039863724,0.6829103,False,250,250_ckpt.pt
transformer.h.0.mlp.c_fc.weight,589824,-0.026099011301994324,-0.9999292762099672,-18.004099,13.689473,0.76035315,False,250,250_ckpt.pt
transformer.h.0.mlp.c_proj.weight,589824,0.06076113507151604,-1.000027117286059,-55.179344,40.5763,0.7353531,False,250,250_ckpt.pt
transformer.h.1.attn.c_attn.weight,442368,0.0003110948018729687,-1.0000069718200526,-3.2658896,2.7762628,0.8500786,False,250,250_ckpt.pt
transformer.h.1.attn.c_proj.weight,147456,2.39585119743424e-06,-1.000000003601978,-14.015787,9.23934,0.6592095,False,250,250_ckpt.pt
transformer.h.1.ln_1.weight,384,0.01753397099673748,-1.4103670954321603,-0.008742156,0.004240868,0.48510548,False,250,250_ckpt.pt
transformer.h.1.ln_2.weight,384,-0.08551155030727386,-0.16392764841602653,-0.016979275,0.00919616,0.5416109,False,250,250_ckpt.pt
transformer.h.1.mlp.c_fc.weight,589824,-0.06790421903133392,-0.9996359540763856,-7.862608,6.622347,0.84225833,False,250,250_ckpt.pt
transformer.h.1.mlp.c_proj.weight,589824,5.202883039601147e-05,-1.0000001262792428,-6.2670097,4.473189,0.71376765,False,250,250_ckpt.pt
transformer.h.2.attn.c_attn.weight,442368,-0.0008267094381153584,-0.9999830663575392,-3.8579345,2.417617,0.626661,False,250,250_ckpt.pt
transformer.h.2.attn.c_proj.weight,147456,1.5694452315528906e-07,-1.000000000504532,-5.51799,3.3894825,0.6142603,False,250,250_ckpt.pt
transformer.h.2.ln_1.weight,384,-0.20697078108787537,4.131552135615366,-0.009714201,0.0038783245,0.39924276,False,250,250_ckpt.pt
transformer.h.2.ln_2.weight,384,-0.11908425390720367,0.7964332505346379,-0.024067419,0.010949636,0.4549568,False,250,250_ckpt.pt
transformer.h.2.mlp.c_fc.weight,589824,0.01787363737821579,-1.0001477814253332,-11.974909,8.285163,0.6918769,False,250,250_ckpt.pt
transformer.h.2.mlp.c_proj.weight,589824,0.0003769047325477004,-1.0000008606216402,-5.5416136,4.354525,0.7857865,False,250,250_ckpt.pt
transformer.h.3.attn.c_attn.weight,442368,-0.0028469590470194817,-0.9999253355826695,-2.9892972,3.0666513,1.025877,False,250,250_ckpt.pt
