layer_name,num_params,diag_sum,diag_off_diag_ratio,min_eigenvalue,max_eigenvalue,spectral_gap,is_bad_layer,iter_num,checkpoint
transformer.h.0.attn.c_attn.weight,442368,-0.036954402923583984,-0.9999075525003926,-85.91638,37.10481,0.43187118,False,250,250_ckpt.pt
transformer.h.0.attn.c_proj.weight,147456,1.3439851500152145e-05,-0.999999975366737,-226.17097,80.801735,0.3572595,False,250,250_ckpt.pt
transformer.h.0.ln_1.weight,384,-1.057674765586853,1.2322561528791485,-0.07585648,0.031086292,0.40980405,False,250,250_ckpt.pt
transformer.h.0.ln_2.weight,384,-1.8916963338851929,2.7582103730544096,-0.06807877,0.024627285,0.3617469,False,250,250_ckpt.pt
transformer.h.0.mlp.c_fc.weight,589824,-0.023408785462379456,-0.9999517784505394,-16.138826,8.648814,0.53590107,False,250,250_ckpt.pt
transformer.h.0.mlp.c_proj.weight,589824,0.024734320119023323,-1.0000118332333956,-46.41159,22.22375,0.4788405,False,250,250_ckpt.pt
transformer.h.1.attn.c_attn.weight,442368,9.633880108594894e-05,-1.0000021499683327,-3.8340049,3.7703989,0.98341,False,250,250_ckpt.pt
transformer.h.1.attn.c_proj.weight,147456,2.9762679787381785e-06,-1.000000004302101,-13.250391,7.1283016,0.5379692,False,250,250_ckpt.pt
transformer.h.1.ln_1.weight,384,0.13072516024112701,-4.420871371736888,-0.009357835,0.0053352634,0.57013863,False,250,250_ckpt.pt
transformer.h.1.ln_2.weight,384,-0.20313358306884766,-0.026708736474719323,-0.019767936,0.009020395,0.45631444,False,250,250_ckpt.pt
transformer.h.1.mlp.c_fc.weight,589824,-0.10989834368228912,-0.9997135439503285,-8.3049135,6.161483,0.74190813,False,250,250_ckpt.pt
transformer.h.1.mlp.c_proj.weight,589824,5.588130989053752e-06,-1.0000000159953004,-5.1050124,3.7718272,0.7388478,False,250,250_ckpt.pt
transformer.h.2.attn.c_attn.weight,442368,-0.0010516548063606024,-0.9999791761052533,-3.8353467,3.1563919,0.8229743,False,250,250_ckpt.pt
transformer.h.2.attn.c_proj.weight,147456,6.11534005656722e-06,-1.0000000210198923,-4.7458906,2.9883726,0.6296758,False,250,250_ckpt.pt
transformer.h.2.ln_1.weight,384,-0.20088686048984528,3.936132577681855,-0.008525101,0.005217988,0.6120735,False,250,250_ckpt.pt
transformer.h.2.ln_2.weight,384,-0.1337231695652008,0.22879478225233316,-0.025649978,0.0114126485,0.44493794,False,250,250_ckpt.pt
transformer.h.2.mlp.c_fc.weight,589824,0.024069692939519882,-1.0001033497327556,-11.686443,8.802094,0.7531885,False,250,250_ckpt.pt
transformer.h.2.mlp.c_proj.weight,589824,9.723129551275633e-06,-1.0000000274857537,-4.3522444,2.1572669,0.49566767,False,250,250_ckpt.pt
transformer.h.3.attn.c_attn.weight,442368,-0.0005668075755238533,-0.9999845215136375,-3.7476916,6.5762296,1.7547414,False,250,250_ckpt.pt
transformer.h.3.attn.c_proj.weight,147456,7.51684808619757e-07,-1.0000000029115046,-3.321603,3.0528736,0.91909647,False,250,250_ckpt.pt
transformer.h.3.ln_1.weight,384,-0.09608303010463715,3.2872249375290474,-0.010722106,0.013231569,1.2340456,False,250,250_ckpt.pt
transformer.h.3.ln_2.weight,384,0.12333479523658752,-0.3994405713262598,-0.014037826,0.01583808,1.128243,False,250,250_ckpt.pt
transformer.h.3.mlp.c_fc.weight,589824,-0.00334955845028162,-1.0000070592548926,-9.572647,8.505315,0.8885019,False,250,250_ckpt.pt
transformer.h.3.mlp.c_proj.weight,589824,4.444892692845315e-05,-1.000000103685851,-4.1756186,2.6482997,0.6342293,False,250,250_ckpt.pt
transformer.h.4.attn.c_attn.weight,442368,0.00028322916477918625,-1.0000086231536431,-3.5345695,4.9159226,1.3908123,False,250,250_ckpt.pt
transformer.h.4.attn.c_proj.weight,147456,8.597589840064757e-06,-1.0000000240161595,-3.5364065,2.0206265,0.57137847,False,250,250_ckpt.pt
transformer.h.4.ln_1.weight,384,-0.12063577026128769,6.6520250428182175,-0.007525145,0.010770558,1.4312758,False,250,250_ckpt.pt
transformer.h.4.ln_2.weight,384,-0.009413188323378563,-1.0230120646535366,-0.013071571,0.021846257,1.6712803,False,250,250_ckpt.pt
transformer.h.4.mlp.c_fc.weight,589824,0.019476965069770813,-0.999980147348844,-7.1367865,7.841874,1.0987962,False,250,250_ckpt.pt
transformer.h.4.mlp.c_proj.weight,589824,0.00044123170664533973,-1.000000873429811,-3.927885,2.0728798,0.52773434,False,250,250_ckpt.pt
transformer.h.5.attn.c_attn.weight,442368,-0.0055576409213244915,-0.9998492851472979,-4.207722,4.160834,0.9888566,False,250,250_ckpt.pt
transformer.h.5.attn.c_proj.weight,147456,3.6209883091942174e-06,-1.0000000093891397,-3.0878692,1.9775674,0.6404311,False,250,250_ckpt.pt
transformer.h.5.ln_1.weight,384,-0.30418139696121216,7.941397180710682,-0.009094628,0.009107227,1.0013855,False,250,250_ckpt.pt
transformer.h.5.ln_2.weight,384,0.344284325838089,-0.3975000824089579,-0.012869221,0.021058638,1.6363568,False,250,250_ckpt.pt
transformer.h.5.mlp.c_fc.weight,589824,0.23056954145431519,-0.9998285849737065,-9.423817,6.9542284,0.7379418,False,250,250_ckpt.pt
transformer.h.5.mlp.c_proj.weight,589824,0.00014820313663221896,-1.0000004603180623,-1.7641693,1.4931484,0.8463748,False,250,250_ckpt.pt
transformer.h.0.attn.c_attn.weight,442368,-0.06710577011108398,-0.9998507888697995,-111.33542,69.915924,0.6279756,False,500,500_ckpt.pt
transformer.h.0.attn.c_proj.weight,147456,1.5843399978621164e-06,-0.9999999982005292,-551.73804,149.04164,0.27013117,False,500,500_ckpt.pt
transformer.h.0.ln_1.weight,384,-3.036332130432129,6.100900365341726,-0.087420724,0.05143087,0.5883144,False,500,500_ckpt.pt
transformer.h.0.ln_2.weight,384,-1.9938157796859741,1.1705685658584601,-0.17897944,0.04598775,0.25694433,False,500,500_ckpt.pt
transformer.h.0.mlp.c_fc.weight,589824,-0.17174005508422852,-0.9993978515617374,-33.720253,14.993443,0.44464207,False,500,500_ckpt.pt
transformer.h.0.mlp.c_proj.weight,589824,0.03545964136719704,-1.0000129978934253,-88.39216,39.578365,0.4477588,False,500,500_ckpt.pt
transformer.h.1.attn.c_attn.weight,442368,0.01928800716996193,-1.0003941431810914,-12.367242,3.6305118,0.29355872,False,500,500_ckpt.pt
transformer.h.1.attn.c_proj.weight,147456,2.0957936612830963e-06,-1.0000000062446215,-9.954441,4.861597,0.48838472,False,500,500_ckpt.pt
transformer.h.1.ln_1.weight,384,-0.46329358220100403,6.777670155375019,-0.018805359,0.0048494567,0.25787634,False,500,500_ckpt.pt
transformer.h.1.ln_2.weight,384,-0.4199589788913727,-0.2575002779153888,-0.056323644,0.014401532,0.25569248,False,500,500_ckpt.pt
transformer.h.1.mlp.c_fc.weight,589824,-0.14067482948303223,-0.9998082065445293,-11.06383,13.131008,1.186841,False,500,500_ckpt.pt
transformer.h.1.mlp.c_proj.weight,589824,0.00018434683443047106,-1.0000004054388214,-9.567172,5.0714107,0.5300846,False,500,500_ckpt.pt
transformer.h.2.attn.c_attn.weight,442368,0.0007273517549037933,-1.0000095969803913,-5.206358,2.6803539,0.5148232,False,500,500_ckpt.pt
transformer.h.2.attn.c_proj.weight,147456,1.6629672245471738e-05,-1.000000064240513,-5.350905,2.6156094,0.48881626,False,500,500_ckpt.pt
