iter,layer,angle_deg
250,transformer.h.0,24.4401912689209
500,transformer.h.0,34.18814468383789
750,transformer.h.0,41.146907806396484
1000,transformer.h.0,46.07204055786133
1250,transformer.h.0,49.82720947265625
1500,transformer.h.0,52.715389251708984
1750,transformer.h.0,54.9111328125
2000,transformer.h.0,56.54777145385742
2250,transformer.h.0,57.781166076660156
2500,transformer.h.0,58.67413330078125
2750,transformer.h.0,59.326171875
3000,transformer.h.0,59.77971649169922
3250,transformer.h.0,60.092586517333984
3500,transformer.h.0,60.296417236328125
3750,transformer.h.0,60.428768157958984
4000,transformer.h.0,60.49808120727539
4250,transformer.h.0,60.53313446044922
4500,transformer.h.0,60.5484733581543
4750,transformer.h.0,60.56062316894531
5000,transformer.h.0,60.570438385009766
